currency,date,close,open,high,low,sma7,sma30
BTC,2013-10-30 04:00:00+00:00,197.4,192.75666,198.41366,191.62716,185.99978142857142,145.46726233333337
BTC,2013-10-31 04:00:00+00:00,196.02499,197.4,198.79333,192.83366,187.30018714285717,147.90377366666667
BTC,2013-11-01 04:00:00+00:00,198.04883,196.02499,198.57,195.02916,186.63209142857139,150.31610700000004
BTC,2013-11-02 04:00:00+00:00,198.93233,198.04883,199.09783,195.49,189.15978142857142,152.73590133333337
BTC,2013-11-03 04:00:00+00:00,200.543,198.93233,201.24116,198.71016,192.57416285714282,155.74748466666668
BTC,2013-11-04 05:00:00+00:00,210.3075,200.543,211.17133,200.296,195.83794857142857,158.47642933333333
BTC,2013-11-05 05:00:00+00:00,225.02,210.3075,227.02833,209.23333,199.14475857142853,161.4420573333333
BTC,2013-11-06 05:00:00+00:00,248.25333,225.02,248.32116,221.84833,203.75380714285708,164.92087966666668
BTC,2013-11-07 05:00:00+00:00,262.32666,248.25333,262.67166000000003,242.95166,211.01856857142846,169.13615733333333
BTC,2013-11-08 05:00:00+00:00,294.48699,262.32666,294.48749,260.45166,220.4902357142857,173.7792793333333
BTC,2013-11-09 05:00:00+00:00,331.10325,294.48699,343.67975,293.48749,234.2671157142856,179.46054566666663
BTC,2013-11-10 05:00:00+00:00,285.8875,331.10325,355.2275,277.25275,253.1486757142856,186.2986153333333
BTC,2013-11-11 05:00:00+00:00,304.97974,285.8875,323.27249,260.70325,265.34074714285697,191.65221
BTC,2013-11-12 05:00:00+00:00,338.13699999999994,304.97974,339.795,303.6505,278.8653528571427,197.620618
BTC,2013-11-13 05:00:00+00:00,357.48,338.13699999999994,358.94999,336.30775,295.02492428571406,204.67907366666665
BTC,2013-11-14 05:00:00+00:00,402.954,357.48,409.51,350.20999,310.62873428571413,212.08700733333328
BTC,2013-11-15 05:00:00+00:00,409.10375,402.954,415.93975,383.5775,330.7183542857141,221.07869633333328
BTC,2013-11-16 05:00:00+00:00,420.21649,409.10375,427.90425,386.565,347.0921771428569,229.95671033333332
BTC,2013-11-17 05:00:00+00:00,437.29725,420.21649,437.9695,415.1975,359.82263999999986,239.36648233333332
BTC,2013-11-18 05:00:00+00:00,510.6025,437.29725,512.16999,436.13324000000006,381.452604285714,249.178002
BTC,2013-11-19 05:00:00+00:00,693.65,510.6025,781.82624,491.585,410.8272842857141,261.11302433333327
BTC,2013-11-20 05:00:00+00:00,531.54249,693.65,716.825,394.90624,461.6148557142855,278.89006333333333
BTC,2013-11-21 05:00:00+00:00,574.71599,531.54249,580.11375,428.9815,486.4809257142855,291.1309799999999
BTC,2013-11-22 05:00:00+00:00,681.33,574.71599,705.49725,570.78025,511.01835285714265,304.36706866666657
BTC,2013-11-23 05:00:00+00:00,774.18,681.33,775.6525,651.89599,549.907817142857,320.80149666666665
BTC,2013-11-24 05:00:00+00:00,746.19374,774.18,823.41525,691.6925,600.4740328571427,339.9174413333332
BTC,2013-11-25 05:00:00+00:00,768.8475,746.19374,787.2475,707.75149,644.6021028571428,358.77873266666666
BTC,2013-11-26 05:00:00+00:00,789.36475,768.8475,793.71424,739.8375,681.4942457142855,378.57259399999987
BTC,2013-11-27 05:00:00+00:00,893.1815,789.36475,904.585,787.19,695.1677814285713,398.96153566666663
BTC,2013-11-28 05:00:00+00:00,934.355,893.1815,965.2525,870.38525,746.8304971428571,422.49559133333327
BTC,2013-11-29 05:00:00+00:00,1068.363,934.355,1084.9466,912.931,798.2074985714282,447.21553599999993
BTC,2013-11-30 05:00:00+00:00,1154.92593,1068.363,1157.49894,1028.22683,853.4979271428571,476.247636
BTC,2013-12-01 05:00:00+00:00,1099.51926,1154.92593,1156.02831,1099.2065,907.8902028571428,508.21100066666656
BTC,2013-12-02 05:00:00+00:00,1019.78966,1099.51926,1099.70754,783.68616,958.365277142857,538.2600150000001
BTC,2013-12-03 05:00:00+00:00,1028.845,1019.78966,1049.67916,929.95483,994.2141571428572,565.6219259999998
