label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
ce,23650CE,SELL,1,0,09:20:00,5,124.6,15:29:00,374,216.0,EOD_FORCE,-91.4,0.1703,-91.5703
pe,23650PE,SELL,1,0,09:20:00,5,110.55,15:29:00,374,60.05,EOD_FORCE,50.5,0.0853,50.4147
ce,23750CE,SELL,1,0,09:20:00,5,128.35,14:51:00,336,466.4,SL,-338.04999999999995,0.297375,-338.34737499999994
pe,23750PE,SELL,1,0,09:20:00,5,104.55,14:51:00,336,0.8,SL,103.75,0.052675,103.697325
ce,24150CE,SELL,1,0,09:20:00,5,187.15,15:29:00,374,87.5,EOD_FORCE,99.65,0.137325,99.512675
pe,24150PE,SELL,1,0,09:20:00,5,177.4,15:29:00,374,249.3,EOD_FORCE,-71.9,0.21335000000000004,-72.11335000000001
ce,24000CE,SELL,1,0,09:20:00,5,150.1,15:29:00,374,58.0,EOD_FORCE,92.1,0.10405,91.99595
pe,24000PE,SELL,1,0,09:20:00,5,150.15,15:29:00,374,422.0,EOD_FORCE,-271.85,0.286075,-272.136075
ce,23750CE,SELL,1,0,09:20:00,5,161.45,15:29:00,374,92.85,EOD_FORCE,68.6,0.12714999999999999,68.47285
pe,23750PE,SELL,1,0,09:20:00,5,169.25,15:29:00,374,142.4,EOD_FORCE,26.849999999999994,0.15582500000000002,26.694174999999994
ce,23650CE,SELL,1,0,09:20:00,5,110.85,15:29:00,374,83.15,EOD_FORCE,27.69999999999999,0.097,27.602999999999987
pe,23650PE,SELL,1,0,09:20:00,5,97.55,15:29:00,374,52.2,EOD_FORCE,45.349999999999994,0.07487500000000001,45.275124999999996
ce,23600CE,SELL,1,0,09:20:00,5,51.8,15:29:00,374,0.05,EOD_FORCE,51.75,0.025925,51.724075
pe,23600PE,SELL,1,0,09:20:00,5,49.45,15:29:00,374,73.1,EOD_FORCE,-23.64999999999999,0.061274999999999996,-23.71127499999999
ce,23600CE,SELL,1,0,09:20:00,5,178.75,15:29:00,374,93.0,EOD_FORCE,85.75,0.135875,85.614125
pe,23600PE,SELL,1,0,09:20:00,5,175.7,15:29:00,374,229.0,EOD_FORCE,-53.30000000000001,0.20235,-53.502350000000014
ce,23250CE,SELL,1,0,09:20:00,5,163.2,15:29:00,374,79.4,EOD_FORCE,83.79999999999998,0.12130000000000002,83.67869999999998
pe,23250PE,SELL,1,0,09:20:00,5,177.0,15:29:00,374,188.8,EOD_FORCE,-11.800000000000011,0.1829,-11.982900000000011
ce,23200CE,SELL,1,0,09:20:00,5,132.4,15:29:00,374,113.25,EOD_FORCE,19.150000000000006,0.12282500000000002,19.027175000000007
pe,23200PE,SELL,1,0,09:20:00,5,96.8,15:29:00,374,66.9,EOD_FORCE,29.89999999999999,0.08185,29.818149999999992
ce,23200CE,SELL,1,0,09:20:00,5,103.45,15:29:00,374,65.15,EOD_FORCE,38.3,0.0843,38.2157
pe,23200PE,SELL,1,0,09:20:00,5,63.3,15:29:00,374,47.4,EOD_FORCE,15.899999999999999,0.055349999999999996,15.844649999999998
ce,23350CE,SELL,1,0,09:20:00,5,27.75,15:29:00,374,0.05,EOD_FORCE,27.7,0.013900000000000003,27.6861
pe,23350PE,SELL,1,0,09:20:00,5,57.55,15:29:00,374,38.2,EOD_FORCE,19.349999999999994,0.047875,19.302124999999993
ce,23200CE,SELL,1,0,09:20:00,5,186.0,15:29:00,374,183.05,EOD_FORCE,2.9499999999999886,0.18452500000000005,2.765474999999989
pe,23200PE,SELL,1,0,09:20:00,5,176.75,15:29:00,374,150.2,EOD_FORCE,26.55000000000001,0.163475,26.386525000000013
ce,23200CE,SELL,1,0,09:20:00,5,185.1,15:29:00,374,237.95,EOD_FORCE,-52.849999999999994,0.21152500000000002,-53.061524999999996
pe,23200PE,SELL,1,0,09:20:00,5,155.45,15:29:00,374,73.05,EOD_FORCE,82.39999999999999,0.11425,82.28575
ce,23400CE,SELL,1,0,09:20:00,5,128.65,15:29:00,374,25.4,EOD_FORCE,103.25,0.07702500000000001,103.172975
pe,23400PE,SELL,1,0,09:20:00,5,130.75,15:29:00,374,387.2,EOD_FORCE,-256.45,0.258975,-256.708975
ce,23100CE,SELL,1,0,09:20:00,5,122.85,15:29:00,374,99.3,EOD_FORCE,23.549999999999997,0.11107500000000001,23.438924999999998
pe,23100PE,SELL,1,0,09:20:00,5,108.1,15:29:00,374,33.0,EOD_FORCE,75.1,0.07055,75.02945
ce,23100CE,SELL,1,0,09:20:00,5,60.4,15:29:00,374,105.55,EOD_FORCE,-45.15,0.082975,-45.232974999999996
pe,23100PE,SELL,1,0,09:20:00,5,37.95,15:29:00,374,0.05,EOD_FORCE,37.900000000000006,0.019000000000000003,37.88100000000001
ce,22900CE,SELL,1,0,09:20:00,5,182.3,15:29:00,374,124.55,EOD_FORCE,57.750000000000014,0.153425,57.596575000000016
pe,22900PE,SELL,1,0,09:20:00,5,161.0,15:29:00,374,190.0,EOD_FORCE,-29.0,0.1755,-29.1755
ce,22900CE,SELL,1,0,09:20:00,5,169.9,15:29:00,374,185.1,EOD_FORCE,-15.199999999999989,0.17750000000000002,-15.377499999999989
pe,22900PE,SELL,1,0,09:20:00,5,125.5,15:29:00,374,100.0,EOD_FORCE,25.5,0.11275,25.38725
ce,23000CE,SELL,1,0,09:20:00,5,154.3,15:29:00,374,255.15,EOD_FORCE,-100.85,0.204725,-101.05472499999999
pe,23000PE,SELL,1,0,09:20:00,5,113.65,15:29:00,374,84.95,EOD_FORCE,28.700000000000003,0.09930000000000001,28.600700000000003
ce,23150CE,SELL,1,0,09:20:00,5,117.0,15:29:00,374,66.15,EOD_FORCE,50.849999999999994,0.09157500000000002,50.758424999999995
pe,23150PE,SELL,1,0,09:20:00,5,126.4,15:29:00,374,0.2,EOD_FORCE,126.2,0.06330000000000001,126.1367
ce,23300CE,SELL,1,0,09:20:00,5,349.35,15:29:00,374,421.55,EOD_FORCE,-72.19999999999999,0.38545000000000007,-72.58545
pe,23300PE,SELL,1,0,09:20:00,5,294.55,15:29:00,374,132.9,EOD_FORCE,161.65,0.21372500000000003,161.436275
ce,23500CE,SELL,1,0,09:20:00,5,230.6,15:29:00,374,137.7,EOD_FORCE,92.9,0.18415,92.71585
pe,23500PE,SELL,1,0,09:20:00,5,224.8,15:29:00,374,141.85,EOD_FORCE,82.95000000000002,0.18332500000000002,82.76667500000002
ce,23250CE,SELL,1,0,09:20:00,5,171.0,15:29:00,374,204.15,EOD_FORCE,-33.150000000000006,0.18757500000000002,-33.33757500000001
pe,23250PE,SELL,1,0,09:20:00,5,122.1,15:29:00,374,63.7,EOD_FORCE,58.39999999999999,0.09290000000000001,58.30709999999999
ce,23500CE,SELL,1,0,09:20:00,5,107.2,15:29:00,374,231.1,EOD_FORCE,-123.89999999999999,0.16915,-124.06915
pe,23500PE,SELL,1,0,09:20:00,5,93.3,15:29:00,374,27.8,EOD_FORCE,65.5,0.06055,65.43945
ce,23750CE,SELL,1,0,09:20:00,5,75.9,15:29:00,374,41.5,EOD_FORCE,34.400000000000006,0.0587,34.341300000000004
pe,23750PE,SELL,1,0,09:20:00,5,104.55,15:29:00,374,132.7,EOD_FORCE,-28.14999999999999,0.118625,-28.268624999999993
ce,23700CE,SELL,1,0,09:20:00,5,58.75,15:29:00,374,0.05,EOD_FORCE,58.7,0.0294,58.6706
pe,23700PE,SELL,1,0,09:20:00,5,57.95,15:29:00,374,96.7,EOD_FORCE,-38.75,0.07732500000000002,-38.827325
ce,23600CE,SELL,1,0,09:20:00,5,204.45,15:29:00,374,138.75,EOD_FORCE,65.69999999999999,0.1716,65.52839999999999
pe,23600PE,SELL,1,0,09:20:00,5,190.75,15:29:00,374,162.4,EOD_FORCE,28.349999999999994,0.176575,28.173424999999995
ce,23450CE,SELL,1,0,09:20:00,5,175.5,15:29:00,374,119.65,EOD_FORCE,55.849999999999994,0.147575,55.70242499999999
pe,23450PE,SELL,1,0,09:20:00,5,132.15,15:29:00,374,158.75,EOD_FORCE,-26.599999999999994,0.14545000000000002,-26.745449999999995
ce,23350CE,SELL,1,0,09:20:00,5,149.35,15:29:00,374,32.25,EOD_FORCE,117.1,0.0908,117.00919999999999
pe,23350PE,SELL,1,0,09:20:00,5,146.8,15:29:00,374,294.8,EOD_FORCE,-148.0,0.22080000000000005,-148.2208
ce,23050CE,SELL,1,0,09:20:00,5,109.8,15:29:00,374,88.3,EOD_FORCE,21.5,0.09905,21.40095
