label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
pe,23400PE,SELL,1,0,09:20:00,5,182.3,15:29:00,374,97.0,EOD_FORCE,85.30000000000001,0.13965000000000002,85.16035000000001
ce,23350CE,SELL,1,0,09:20:00,5,117.55,15:29:00,374,134.05,EOD_FORCE,-16.500000000000014,0.1258,-16.625800000000016
pe,23150PE,SELL,1,0,09:20:00,5,86.7,15:29:00,374,43.1,EOD_FORCE,43.6,0.0649,43.5351
ce,23600CE,SELL,1,0,09:20:00,5,62.15,15:29:00,374,153.1,EOD_FORCE,-90.94999999999999,0.107625,-91.05762499999999
pe,23400PE,SELL,1,0,09:20:00,5,56.8,15:29:00,374,16.0,EOD_FORCE,40.8,0.0364,40.7636
ce,23850CE,SELL,1,0,09:20:00,5,41.45,15:29:00,374,24.35,EOD_FORCE,17.1,0.032900000000000006,17.0671
pe,23650PE,SELL,1,0,09:20:00,5,58.25,15:29:00,374,63.5,EOD_FORCE,-5.25,0.060875,-5.310875
ce,23800CE,SELL,1,0,09:20:00,5,30.9,15:29:00,374,0.05,EOD_FORCE,30.849999999999998,0.015475,30.834525
pe,23600PE,SELL,1,0,09:20:00,5,20.0,15:29:00,374,0.05,EOD_FORCE,19.95,0.010025000000000001,19.939975
ce,23700CE,SELL,1,0,09:20:00,5,154.2,15:29:00,374,96.35,EOD_FORCE,57.849999999999994,0.125275,57.72472499999999
pe,23500PE,SELL,1,0,09:20:00,5,147.55,15:29:00,374,115.65,EOD_FORCE,31.900000000000006,0.13160000000000002,31.768400000000007
ce,23550CE,SELL,1,0,09:20:00,5,125.6,15:29:00,374,80.15,EOD_FORCE,45.44999999999999,0.10287500000000001,45.34712499999999
pe,23350PE,SELL,1,0,09:20:00,5,93.0,15:29:00,374,110.0,EOD_FORCE,-17.0,0.1015,-17.1015
ce,23450CE,SELL,1,0,09:20:00,5,103.9,15:29:00,374,18.45,EOD_FORCE,85.45,0.06117500000000001,85.388825
pe,23250PE,SELL,1,0,09:20:00,5,103.35,15:29:00,374,216.2,EOD_FORCE,-112.85,0.159775,-113.00977499999999
ce,23150CE,SELL,1,0,09:20:00,5,65.95,15:29:00,374,48.4,EOD_FORCE,17.550000000000004,0.057175000000000004,17.492825000000003
pe,22950PE,SELL,1,0,09:20:00,5,57.45,15:29:00,374,42.0,EOD_FORCE,15.450000000000003,0.049725000000000005,15.400275000000002
ce,23200CE,SELL,1,0,09:20:00,5,36.85,15:29:00,374,0.05,EOD_FORCE,36.800000000000004,0.018450000000000005,36.78155
pe,23000PE,SELL,1,0,09:20:00,5,34.45,15:29:00,374,0.05,EOD_FORCE,34.400000000000006,0.01725,34.38275000000001
ce,23200CE,SELL,1,0,09:20:00,5,137.25,15:29:00,374,63.05,EOD_FORCE,74.2,0.10015,74.09985
pe,23000PE,SELL,1,0,09:20:00,5,123.35,15:29:00,374,192.0,EOD_FORCE,-68.65,0.157675,-68.807675
ce,22950CE,SELL,1,0,09:20:00,5,152.1,15:29:00,374,180.8,EOD_FORCE,-28.700000000000017,0.16645000000000001,-28.866450000000018
