label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
23200CE,23200CE,SELL,1,0,09:20:00,5,132.4,15:29:00,374,113.25,EOD_FORCE,19.150000000000006,0.12282500000000002,19.027175000000007
23200PE,23200PE,SELL,1,0,09:20:00,5,96.8,15:29:00,374,66.9,EOD_FORCE,29.89999999999999,0.08185,29.818149999999992
23200CE,23200CE,SELL,1,0,09:20:00,5,103.45,15:29:00,374,65.15,EOD_FORCE,38.3,0.0843,38.2157
23200PE,23200PE,SELL,1,0,09:20:00,5,63.3,15:29:00,374,47.4,EOD_FORCE,15.899999999999999,0.055349999999999996,15.844649999999998
23350CE,23350CE,SELL,1,0,09:20:00,5,27.75,15:29:00,374,0.05,EOD_FORCE,27.7,0.013900000000000003,27.6861
23350PE,23350PE,SELL,1,0,09:20:00,5,57.55,15:29:00,374,38.2,EOD_FORCE,19.349999999999994,0.047875,19.302124999999993
23200CE,23200CE,SELL,1,0,09:20:00,5,186.0,15:29:00,374,183.05,EOD_FORCE,2.9499999999999886,0.18452500000000005,2.765474999999989
23200PE,23200PE,SELL,1,0,09:20:00,5,176.75,15:29:00,374,150.2,EOD_FORCE,26.55000000000001,0.163475,26.386525000000013
23200CE,23200CE,SELL,1,0,09:20:00,5,185.1,15:29:00,374,237.95,EOD_FORCE,-52.849999999999994,0.21152500000000002,-53.061524999999996
23200PE,23200PE,SELL,1,0,09:20:00,5,155.45,15:29:00,374,73.05,EOD_FORCE,82.39999999999999,0.11425,82.28575
23400CE,23400CE,SELL,1,0,09:20:00,5,128.65,15:29:00,374,25.4,EOD_FORCE,103.25,0.07702500000000001,103.172975
23400PE,23400PE,SELL,1,0,09:20:00,5,130.75,15:29:00,374,387.2,EOD_FORCE,-256.45,0.258975,-256.708975
23100CE,23100CE,SELL,1,0,09:20:00,5,122.85,15:29:00,374,99.3,EOD_FORCE,23.549999999999997,0.11107500000000001,23.438924999999998
23100PE,23100PE,SELL,1,0,09:20:00,5,108.1,15:29:00,374,33.0,EOD_FORCE,75.1,0.07055,75.02945
23100CE,23100CE,SELL,1,0,09:20:00,5,60.4,15:29:00,374,105.55,EOD_FORCE,-45.15,0.082975,-45.232974999999996
23100PE,23100PE,SELL,1,0,09:20:00,5,37.95,15:29:00,374,0.05,EOD_FORCE,37.900000000000006,0.019000000000000003,37.88100000000001
22900CE,22900CE,SELL,1,0,09:20:00,5,182.3,15:29:00,374,124.55,EOD_FORCE,57.750000000000014,0.153425,57.596575000000016
22900PE,22900PE,SELL,1,0,09:20:00,5,161.0,15:29:00,374,190.0,EOD_FORCE,-29.0,0.1755,-29.1755
22900CE,22900CE,SELL,1,0,09:20:00,5,169.9,15:29:00,374,185.1,EOD_FORCE,-15.199999999999989,0.17750000000000002,-15.377499999999989
22900PE,22900PE,SELL,1,0,09:20:00,5,125.5,15:29:00,374,100.0,EOD_FORCE,25.5,0.11275,25.38725
23000CE,23000CE,SELL,1,0,09:20:00,5,154.3,15:29:00,374,255.15,EOD_FORCE,-100.85,0.204725,-101.05472499999999
23000PE,23000PE,SELL,1,0,09:20:00,5,113.65,15:29:00,374,84.95,EOD_FORCE,28.700000000000003,0.09930000000000001,28.600700000000003
23150CE,23150CE,SELL,1,0,09:20:00,5,117.0,13:48:00,273,82.75,TARGET,34.25,0.099875,34.150125
23150PE,23150PE,SELL,1,0,09:20:00,5,126.4,13:48:00,273,11.55,TARGET,114.85000000000001,0.06897500000000001,114.78102500000001
23300CE,23300CE,SELL,1,0,09:20:00,5,349.35,15:29:00,374,421.55,EOD_FORCE,-72.19999999999999,0.38545000000000007,-72.58545
23300PE,23300PE,SELL,1,0,09:20:00,5,294.55,15:29:00,374,132.9,EOD_FORCE,161.65,0.21372500000000003,161.436275
23500CE,23500CE,SELL,1,0,09:20:00,5,230.6,15:29:00,374,137.7,EOD_FORCE,92.9,0.18415,92.71585
23500PE,23500PE,SELL,1,0,09:20:00,5,224.8,15:29:00,374,141.85,EOD_FORCE,82.95000000000002,0.18332500000000002,82.76667500000002
23250CE,23250CE,SELL,1,0,09:20:00,5,171.0,15:29:00,374,204.15,EOD_FORCE,-33.150000000000006,0.18757500000000002,-33.33757500000001
23250PE,23250PE,SELL,1,0,09:20:00,5,122.1,15:29:00,374,63.7,EOD_FORCE,58.39999999999999,0.09290000000000001,58.30709999999999
23500CE,23500CE,SELL,1,0,09:20:00,5,107.2,15:29:00,374,231.1,EOD_FORCE,-123.89999999999999,0.16915,-124.06915
23500PE,23500PE,SELL,1,0,09:20:00,5,93.3,15:29:00,374,27.8,EOD_FORCE,65.5,0.06055,65.43945
23750CE,23750CE,SELL,1,0,09:20:00,5,75.9,15:29:00,374,41.5,EOD_FORCE,34.400000000000006,0.0587,34.341300000000004
23750PE,23750PE,SELL,1,0,09:20:00,5,104.55,15:29:00,374,132.7,EOD_FORCE,-28.14999999999999,0.118625,-28.268624999999993
23700CE,23700CE,SELL,1,0,09:20:00,5,58.75,15:29:00,374,0.05,EOD_FORCE,58.7,0.0294,58.6706
23700PE,23700PE,SELL,1,0,09:20:00,5,57.95,15:29:00,374,96.7,EOD_FORCE,-38.75,0.07732500000000002,-38.827325
23600CE,23600CE,SELL,1,0,09:20:00,5,204.45,15:29:00,374,138.75,EOD_FORCE,65.69999999999999,0.1716,65.52839999999999
23600PE,23600PE,SELL,1,0,09:20:00,5,190.75,15:29:00,374,162.4,EOD_FORCE,28.349999999999994,0.176575,28.173424999999995
23450CE,23450CE,SELL,1,0,09:20:00,5,175.5,15:29:00,374,119.65,EOD_FORCE,55.849999999999994,0.147575,55.70242499999999
23450PE,23450PE,SELL,1,0,09:20:00,5,132.15,15:29:00,374,158.75,EOD_FORCE,-26.599999999999994,0.14545000000000002,-26.745449999999995
23350CE,23350CE,SELL,1,0,09:20:00,5,149.35,15:29:00,374,32.25,EOD_FORCE,117.1,0.0908,117.00919999999999
23350PE,23350PE,SELL,1,0,09:20:00,5,146.8,15:29:00,374,294.8,EOD_FORCE,-148.0,0.22080000000000005,-148.2208
23050CE,23050CE,SELL,1,0,09:20:00,5,109.8,15:29:00,374,88.3,EOD_FORCE,21.5,0.09905,21.40095
23050PE,23050PE,SELL,1,0,09:20:00,5,95.7,15:29:00,374,77.15,EOD_FORCE,18.549999999999997,0.086425,18.463575
23100CE,23100CE,SELL,1,0,09:20:00,5,74.2,14:04:00,289,27.0,TARGET,47.2,0.050600000000000006,47.1494
23100PE,23100PE,SELL,1,0,09:20:00,5,67.2,14:04:00,289,29.4,TARGET,37.800000000000004,0.0483,37.75170000000001
23100CE,23100CE,SELL,1,0,09:20:00,5,187.15,15:29:00,374,94.9,EOD_FORCE,92.25,0.141025,92.108975
23100PE,23100PE,SELL,1,0,09:20:00,5,164.55,15:29:00,374,252.0,EOD_FORCE,-87.44999999999999,0.20827500000000002,-87.65827499999999
22850CE,22850CE,SELL,1,0,09:20:00,5,203.15,15:29:00,374,244.95,EOD_FORCE,-41.79999999999998,0.22405000000000003,-42.02404999999998
22850PE,22850PE,SELL,1,0,09:20:00,5,153.95,15:29:00,374,89.0,EOD_FORCE,64.94999999999999,0.121475,64.82852499999998
22900CE,22900CE,SELL,1,0,09:20:00,5,180.2,15:29:00,374,131.5,EOD_FORCE,48.69999999999999,0.15585,48.54414999999999
22900PE,22900PE,SELL,1,0,09:20:00,5,138.8,15:29:00,374,104.65,EOD_FORCE,34.150000000000006,0.12172500000000003,34.02827500000001
22850CE,22850CE,SELL,1,0,09:20:00,5,118.25,15:29:00,374,123.8,EOD_FORCE,-5.549999999999997,0.12102500000000001,-5.6710249999999975
22850PE,22850PE,SELL,1,0,09:20:00,5,111.9,15:29:00,374,53.5,EOD_FORCE,58.400000000000006,0.08270000000000001,58.3173
22850CE,22850CE,SELL,1,0,09:20:00,5,76.8,14:12:00,297,49.6,TARGET,27.199999999999996,0.0632,27.136799999999997
22850PE,22850PE,SELL,1,0,09:20:00,5,60.1,14:12:00,297,4.0,TARGET,56.1,0.03205,56.06795
22900CE,22900CE,SELL,1,0,09:20:00,5,183.4,15:29:00,374,93.35,EOD_FORCE,90.05000000000001,0.138375,89.91162500000002
22900PE,22900PE,SELL,1,0,09:20:00,5,143.8,15:29:00,374,200.0,EOD_FORCE,-56.19999999999999,0.17190000000000003,-56.37189999999999
22650CE,22650CE,SELL,1,0,09:20:00,5,141.3,15:29:00,374,77.85,EOD_FORCE,63.45000000000002,0.10957500000000002,63.34042500000002
22650PE,22650PE,SELL,1,0,09:20:00,5,132.65,15:29:00,374,119.8,EOD_FORCE,12.850000000000009,0.126225,12.723775000000009
22550CE,22550CE,SELL,1,0,09:20:00,5,105.9,15:29:00,374,64.25,EOD_FORCE,41.650000000000006,0.08507500000000001,41.564925
22550PE,22550PE,SELL,1,0,09:20:00,5,77.7,15:29:00,374,47.2,EOD_FORCE,30.5,0.062450000000000006,30.43755
