label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
23450CE,23450CE,SELL,1,0,09:20:00,5,11.0,11:43:00,148,5.0,TARGET,6.0,0.008,5.992
23550CE,23550CE,BUY,1,0,09:20:00,5,5.15,11:43:00,148,3.1,TARGET,-2.0500000000000003,0.004125,-2.0541250000000004
23250PE,23250PE,SELL,1,0,09:20:00,5,15.35,11:43:00,148,6.9,TARGET,8.45,0.011125000000000001,8.438875
23150PE,23150PE,BUY,1,0,09:20:00,5,6.0,11:43:00,148,2.25,TARGET,-3.75,0.004125,-3.754125
23300CE,23300CE,SELL,1,0,09:20:00,5,137.5,15:29:00,374,132.15,EOD_FORCE,5.349999999999994,0.13482500000000003,5.215174999999994
23400CE,23400CE,BUY,1,0,09:20:00,5,97.75,15:29:00,374,89.45,EOD_FORCE,-8.299999999999997,0.0936,-8.393599999999998
23100PE,23100PE,SELL,1,0,09:20:00,5,134.15,15:29:00,374,111.3,EOD_FORCE,22.85000000000001,0.12272500000000001,22.72727500000001
23000PE,23000PE,BUY,1,0,09:20:00,5,99.55,15:29:00,374,79.95,EOD_FORCE,-19.599999999999994,0.08975,-19.689749999999993
23300CE,23300CE,SELL,1,0,09:20:00,5,134.45,15:29:00,374,173.45,EOD_FORCE,-39.0,0.15395,-39.15395
23400CE,23400CE,BUY,1,0,09:20:00,5,92.7,15:29:00,374,119.45,EOD_FORCE,26.75,0.106075,26.643925
23100PE,23100PE,SELL,1,0,09:20:00,5,115.45,15:29:00,374,48.0,EOD_FORCE,67.45,0.081725,67.368275
23000PE,23000PE,BUY,1,0,09:20:00,5,83.05,15:29:00,374,32.95,EOD_FORCE,-50.099999999999994,0.058,-50.157999999999994
23500CE,23500CE,SELL,1,0,09:20:00,5,82.85,15:29:00,374,14.6,EOD_FORCE,68.25,0.048725000000000004,68.201275
23600CE,23600CE,BUY,1,0,09:20:00,5,49.05,15:29:00,374,8.75,EOD_FORCE,-40.3,0.028900000000000002,-40.3289
23300PE,23300PE,SELL,1,0,09:20:00,5,87.9,15:29:00,374,257.1,EOD_FORCE,-169.20000000000002,0.17250000000000004,-169.37250000000003
23200PE,23200PE,BUY,1,0,09:20:00,5,58.2,15:29:00,374,184.3,EOD_FORCE,126.10000000000001,0.12125000000000001,125.97875
23200CE,23200CE,SELL,1,0,09:20:00,5,76.0,15:29:00,374,48.35,EOD_FORCE,27.65,0.06217500000000001,27.587825
23300CE,23300CE,BUY,1,0,09:20:00,5,44.95,15:29:00,374,23.5,EOD_FORCE,-21.450000000000003,0.034225000000000005,-21.484225000000002
23000PE,23000PE,SELL,1,0,09:20:00,5,70.7,15:29:00,374,16.25,EOD_FORCE,54.45,0.043475,54.406525
22900PE,22900PE,BUY,1,0,09:20:00,5,45.45,15:29:00,374,8.8,EOD_FORCE,-36.650000000000006,0.027125000000000007,-36.677125000000004
23200CE,23200CE,SELL,1,0,09:20:00,5,26.65,14:53:00,338,11.3,TARGET,15.349999999999998,0.018975,15.331024999999999
23300CE,23300CE,BUY,1,0,09:20:00,5,11.7,14:53:00,338,0.55,TARGET,-11.149999999999999,0.006124999999999999,-11.156125
23000PE,23000PE,SELL,1,0,09:20:00,5,16.95,14:53:00,338,0.3,TARGET,16.65,0.008625,16.641375
22900PE,22900PE,BUY,1,0,09:20:00,5,8.2,14:53:00,338,0.15,TARGET,-8.049999999999999,0.004175,-8.054174999999999
23000CE,23000CE,SELL,1,0,09:20:00,5,134.05,15:29:00,374,85.55,EOD_FORCE,48.500000000000014,0.10980000000000001,48.390200000000014
23100CE,23100CE,BUY,1,0,09:20:00,5,96.0,15:29:00,374,57.15,EOD_FORCE,-38.85,0.076575,-38.926575
22800PE,22800PE,SELL,1,0,09:20:00,5,117.75,15:29:00,374,139.05,EOD_FORCE,-21.30000000000001,0.12840000000000001,-21.42840000000001
22700PE,22700PE,BUY,1,0,09:20:00,5,84.6,15:29:00,374,99.95,EOD_FORCE,15.350000000000009,0.092275,15.257725000000008
23000CE,23000CE,SELL,1,0,09:20:00,5,118.45,15:29:00,374,129.95,EOD_FORCE,-11.499999999999986,0.12419999999999999,-11.624199999999986
23100CE,23100CE,BUY,1,0,09:20:00,5,79.2,15:29:00,374,85.05,EOD_FORCE,5.849999999999994,0.082125,5.767874999999995
22800PE,22800PE,SELL,1,0,09:20:00,5,87.9,15:29:00,374,66.95,EOD_FORCE,20.950000000000003,0.07742500000000001,20.872575
22700PE,22700PE,BUY,1,0,09:20:00,5,58.95,15:29:00,374,43.0,EOD_FORCE,-15.950000000000003,0.050975,-16.000975000000004
23100CE,23100CE,SELL,1,0,09:20:00,5,102.1,15:29:00,374,191.2,EOD_FORCE,-89.1,0.14665,-89.24664999999999
23200CE,23200CE,BUY,1,0,09:20:00,5,62.35,15:29:00,374,134.35,EOD_FORCE,72.0,0.09834999999999999,71.90165
22900PE,22900PE,SELL,1,0,09:20:00,5,77.25,15:29:00,374,58.2,EOD_FORCE,19.049999999999997,0.06772500000000001,18.982274999999998
22800PE,22800PE,BUY,1,0,09:20:00,5,50.3,15:29:00,374,37.0,EOD_FORCE,-13.299999999999997,0.04365000000000001,-13.343649999999997
23250CE,23250CE,SELL,1,0,09:20:00,5,73.5,13:18:00,243,44.0,TARGET,29.5,0.05875000000000001,29.44125
23350CE,23350CE,BUY,1,0,09:20:00,5,42.15,13:18:00,243,18.85,TARGET,-23.299999999999997,0.0305,-23.330499999999997
23050PE,23050PE,SELL,1,0,09:20:00,5,85.15,13:18:00,243,8.35,TARGET,76.80000000000001,0.04675,76.75325000000001
22950PE,22950PE,BUY,1,0,09:20:00,5,53.8,13:18:00,243,4.5,TARGET,-49.3,0.029150000000000002,-49.32915
23400CE,23400CE,SELL,1,0,09:20:00,5,294.5,15:29:00,374,352.15,EOD_FORCE,-57.64999999999998,0.323325,-57.973324999999974
23500CE,23500CE,BUY,1,0,09:20:00,5,247.8,15:29:00,374,290.0,EOD_FORCE,42.19999999999999,0.26890000000000003,41.93109999999999
23200PE,23200PE,SELL,1,0,09:20:00,5,252.35,15:29:00,374,108.65,EOD_FORCE,143.7,0.18050000000000002,143.5195
23100PE,23100PE,BUY,1,0,09:20:00,5,215.45,15:29:00,374,86.75,EOD_FORCE,-128.7,0.1511,-128.8511
23600CE,23600CE,SELL,1,0,09:20:00,5,180.5,15:29:00,374,95.7,EOD_FORCE,84.8,0.1381,84.6619
