label,instrument,side,qty,cycle,entry_tick,entry_index,entry_price,exit_tick,exit_index,exit_price,exit_reason,gross_pnl,transaction_cost,net_pnl
22000CE,22000CE,BUY,1,0,09:30:00,15,124.75,15:20:00,365,146.6,EOD_FORCE,21.849999999999994,0.13567500000000002,21.714324999999995
22200CE,22200CE,BUY,1,0,09:30:00,15,82.2,11:39:00,144,169.35,TARGET_2X,87.14999999999999,0.125775,87.02422499999999
22350CE,22350CE,BUY,1,0,09:30:00,15,50.0,09:48:00,33,24.55,SL_50PCT,-25.45,0.037275,-25.487275
22550CE,22550CE,BUY,1,0,09:30:00,15,151.7,15:20:00,365,152.25,EOD_FORCE,0.5500000000000114,0.15197500000000003,0.39802500000001134
22600CE,22600CE,BUY,1,0,09:30:00,15,114.75,15:20:00,365,60.1,EOD_FORCE,-54.65,0.08742500000000002,-54.737425
22350CE,22350CE,BUY,1,0,09:30:00,15,114.7,15:20:00,365,204.6,EOD_FORCE,89.89999999999999,0.15965000000000001,89.74034999999999
22450CE,22450CE,BUY,1,0,09:30:00,15,97.6,11:27:00,132,48.1,SL_50PCT,-49.49999999999999,0.07285,-49.572849999999995
22450CE,22450CE,BUY,1,0,09:30:00,15,43.15,09:57:00,42,90.45,TARGET_2X,47.300000000000004,0.0668,47.233200000000004
22550CE,22550CE,BUY,1,0,09:30:00,15,131.7,15:20:00,365,104.95,EOD_FORCE,-26.749999999999986,0.11832500000000001,-26.868324999999984
22650CE,22650CE,BUY,1,0,09:30:00,15,133.15,15:20:00,365,249.1,EOD_FORCE,115.94999999999999,0.191125,115.75887499999999
22850CE,22850CE,BUY,1,0,09:30:00,15,91.25,15:20:00,365,131.4,EOD_FORCE,40.150000000000006,0.11132500000000001,40.038675000000005
23050CE,23050CE,BUY,1,0,09:30:00,15,62.85,10:06:00,51,30.35,SL_50PCT,-32.5,0.0466,-32.5466
23200CE,23200CE,BUY,1,0,09:30:00,15,133.95,12:21:00,186,278.45,TARGET_2X,144.5,0.2062,144.2938
23450CE,23450CE,BUY,1,0,09:30:00,15,142.25,13:59:00,284,292.3,TARGET_2X,150.05,0.21727500000000005,149.832725
23750CE,23750CE,BUY,1,0,09:30:00,15,143.5,15:20:00,365,93.55,EOD_FORCE,-49.95,0.11852500000000002,-50.068525
23700CE,23700CE,BUY,1,0,09:30:00,15,95.7,13:10:00,235,45.35,SL_50PCT,-50.35,0.070525,-50.420525000000005
23550CE,23550CE,BUY,1,0,09:30:00,15,67.65,15:20:00,365,42.15,EOD_FORCE,-25.500000000000007,0.054900000000000004,-25.554900000000007
23550CE,23550CE,BUY,1,0,09:30:00,15,172.75,15:20:00,365,105.15,EOD_FORCE,-67.6,0.13895000000000002,-67.73894999999999
